Frequency,ExpectedPeak2Peak,RealPeak2Peak,RealGain
365000.0 ,60.00            ,27.00        ,9.00000
366000.0 ,60.00            ,27.00        ,9.00000
367000.0 ,60.00            ,27.00        ,9.00000
368000.0 ,60.00            ,27.00        ,9.00000
369000.0 ,60.00            ,27.00        ,9.00000
370000.0 ,60.00            ,27.00        ,9.00000
371000.0 ,60.00            ,27.00        ,9.00000
372000.0 ,60.00            ,27.00        ,9.00000
373000.0 ,60.00            ,26.50        ,8.83333
374000.0 ,60.00            ,26.50        ,8.83333
375000.0 ,60.00            ,26.50        ,8.83333
376000.0 ,60.00            ,26.50        ,8.83333
377000.0 ,60.00            ,26.50        ,8.83333
378000.0 ,60.00            ,26.50        ,8.83333
379000.0 ,60.00            ,26.50        ,8.83333
380000.0 ,60.00            ,26.50        ,8.83333
381000.0 ,60.00            ,26.50        ,8.83333
382000.0 ,60.00            ,26.50        ,8.83333
383000.0 ,60.00            ,26.00        ,8.66667
384000.0 ,60.00            ,26.00        ,8.66667
385000.0 ,60.00            ,26.00        ,8.66667
386000.0 ,60.00            ,26.00        ,8.66667
387000.0 ,60.00            ,26.00        ,8.66667
388000.0 ,60.00            ,26.00        ,8.66667
389000.0 ,60.00            ,26.00        ,8.66667
390000.0 ,60.00            ,26.00        ,8.66667
391000.0 ,60.00            ,26.00        ,8.66667
392000.0 ,60.00            ,25.00        ,8.33333
393000.0 ,60.00            ,25.00        ,8.33333
394000.0 ,60.00            ,25.00        ,8.33333
395000.0 ,60.00            ,25.00        ,8.33333
396000.0 ,60.00            ,25.00        ,8.33333
397000.0 ,60.00            ,25.00        ,8.33333
398000.0 ,60.00            ,25.00        ,8.33333
399000.0 ,60.00            ,25.00        ,8.33333
400000.0 ,60.00            ,25.00        ,8.33333
401000.0 ,60.00            ,25.00        ,8.33333
402000.0 ,60.00            ,25.00        ,8.33333
403000.0 ,60.00            ,25.00        ,8.33333
404000.0 ,60.00            ,25.00        ,8.33333
405000.0 ,60.00            ,25.00        ,8.33333
406000.0 ,60.00            ,25.00        ,8.33333
407000.0 ,60.00            ,25.00        ,8.33333
408000.0 ,60.00            ,25.00        ,8.33333
409000.0 ,60.00            ,25.00        ,8.33333
410000.0 ,60.00            ,25.00        ,8.33333
411000.0 ,60.00            ,25.00        ,8.33333
412000.0 ,60.00            ,25.00        ,8.33333
413000.0 ,60.00            ,24.00        ,8.00000
414000.0 ,60.00            ,24.00        ,8.00000
415000.0 ,60.00            ,24.00        ,8.00000
416000.0 ,60.00            ,24.00        ,8.00000
417000.0 ,60.00            ,24.00        ,8.00000
418000.0 ,60.00            ,24.00        ,8.00000
419000.0 ,60.00            ,24.00        ,8.00000
420000.0 ,60.00            ,24.00        ,8.00000
421000.0 ,60.00            ,24.00        ,8.00000
422000.0 ,60.00            ,24.00        ,8.00000
423000.0 ,60.00            ,24.00        ,8.00000
424000.0 ,60.00            ,24.00        ,8.00000
425000.0 ,60.00            ,24.00        ,8.00000
426000.0 ,60.00            ,24.00        ,8.00000
427000.0 ,60.00            ,23.00        ,7.66667
428000.0 ,60.00            ,23.00        ,7.66667
429000.0 ,60.00            ,23.00        ,7.66667
430000.0 ,60.00            ,23.00        ,7.66667
